timestamp,symbol,price,is_new,is_cancel,is_reject,is_ack
1672542962000000000,COIN_B,11.0,False,True,False,False
1672542962000000000,COIN_B,12.0,False,True,False,False
1672542962000000000,COIN_B,13.0,False,True,False,False
1672542962000010000,COIN_B,12.0,True,False,False,False
1672542962000500000,COIN_B,11.0,False,True,False,True
1672542962000600000,COIN_B,12.0,False,True,False,True
1672542962000800000,COIN_B,13.0,False,True,False,True
1672542962000900000,COIN_B,12.0,True,False,False,True
1672542963000000000,COIN_B,10.0,False,True,False,False
1672542963000000000,COIN_B,9.0,False,True,False,False
1672542963000000000,COIN_B,8.0,False,True,False,False
1672542963000001000,COIN_B,9.0,True,False,False,False
1672542963000050000,COIN_B,10.0,False,True,False,True
1672542963000060000,COIN_B,9.0,False,True,False,True
1672542963000070000,COIN_B,8.0,False,True,False,True
1672542963000080000,COIN_B,8.0,True,False,False,True
1672543099002650000,COIN_B,10.0,False,True,False,False
1672543099002651000,COIN_B,24.0,True,False,False,False
1672543099002660000,COIN_B,10.0,False,False,True,True
1672543099002661000,COIN_B,24.0,False,False,True,True
