timestamp,symbol,price
1672543071000000000,COIN_A,4.0
1672543071100000000,COIN_A,4.0
1672543071200000000,COIN_A,4.0
1672543071500000000,COIN_A,4.0
1672543071900000000,COIN_A,4.0
1672543071910000000,COIN_A,4.0
1672543071950000000,COIN_A,4.0
1672543071970000000,COIN_A,4.0
1672543071990000000,COIN_A,4.0
1672543072001000000,COIN_A,4.0
1672543072001001000,COIN_B,10.0
1672543072001005000,COIN_B,10.0
1672543072001009000,COIN_B,10.0
1672543072002170000,COIN_A,4.0
1672543072002270000,COIN_A,4.0
1672543072002280000,COIN_B,10.0
1672543099002650000,COIN_A,4.0
1672543099002650000,COIN_A,5.0
1672543099002650000,COIN_A,6.0
1672543099002650000,COIN_A,7.0
1672543099002650000,COIN_A,8.0
1672543099002650000,COIN_A,9.0
1672543099002650000,COIN_A,10.0
1672543099002650000,COIN_A,11.0
1672543099002650000,COIN_A,12.0
1672543099002650000,COIN_A,13.0
1672543099002650000,COIN_A,14.0
1672543099002650000,COIN_A,15.0
1672543099002670000,COIN_B,10.0
1672543099002670000,COIN_B,11.0
1672543099002670000,COIN_B,12.0
1672543099002670000,COIN_B,13.0
1672543099002670000,COIN_B,14.0
1672543099002670000,COIN_B,15.0
1672543099002670000,COIN_B,16.0
1672543099002670000,COIN_B,17.0
1672543099002670000,COIN_B,18.0
1672543099002670000,COIN_B,19.0
1672543099002670000,COIN_B,20.0
1672543099002670000,COIN_B,21.0
1672543099002670000,COIN_B,22.0
1672543099002670000,COIN_B,23.0
1672543099002670000,COIN_B,24.0
1672543099002670000,COIN_B,25.0
